reference,bin
NC_002023.1,Influenza
NC_002021.1,Influenza
NC_002022.1,Influenza
NC_002017.1,Influenza
NC_002019.1,Influenza
NC_002018.1,Influenza
NC_002016.1,Influenza
NC_002020.1,Influenza
